,dist_to_us_border_km,dist_to_ensenada_port_km
count,12.0,12.0
mean,1169.6531129342723,1145.2014764844268
std,911.9297146310957,855.709885759363
min,6.945678531188249,76.94210257367885
25%,114.37172579556464,125.67662575998826
50%,1401.8976334454262,1352.4397128094445
75%,2005.4018578333419,1930.3023827702693
max,2126.7171433378326,2052.798705025617
